Ticker,Year,Beta,Current Assets,Cash And Cash Equivalents,Current Liabilities,Total Liabilities Net Minority Interest,Depreciation And Amortization,Capital Expenditure,Net Income,Interest Expense,Tax Rate For Calcs
A,2020,0.8527182692696981,3415000000.0,1441000000.0,1467000000.0,4754000000.0,308000000.0,-119000000.0,719000000.0,78000000.0,0.146
AA,2020,1.552168609632795,4520000000.0,1607000000.0,2761000000.0,9844000000.0,653000000.0,-353000000.0,-170000000.0,146000000.0,0.27
AADI,2020,1.2536548983953553,18685000.0,4455000.0,30058000.0,31257000.0,9000.0,,-3478000.0,815000.0,0.27
AAL,2020,1.5272473329628204,11095000000.0,245000000.0,16569000000.0,68875000000.0,2370000000.0,-2131000000.0,-8885000000.0,1227000000.0,0.224221
AAOI,2020,1.086727495812411,209169000.0,43425000.0,103148000.0,202914000.0,24733000.0,-16284000.0,-58452000.0,5635000.0,0.27
AAON,2020,0.9092779154932745,220251000.0,79025000.0,59033000.0,98143000.0,25634000.0,-67802000.0,79009000.0,,0.225
AAP,2020,0.5762936835344538,6270001000.0,834992000.0,4743915000.0,8280124000.0,250081000.0,-267806000.0,493021000.0,46886000.0,0.236
AAPL,2020,1.4226431783290696,143713000000.0,38016000000.0,105392000000.0,258549000000.0,11056000000.0,-7309000000.0,57411000000.0,2873000000.0,0.144
AAT,2020,1.6666871327943165,227165000.0,137333000.0,197570000.0,1563903000.0,108292000.0,-63488000.0,35588000.0,53440000.0,0.27
ABAT,2020,-1.2930416448592579,14135718.0,12843502.0,1822498.0,1822498.0,14668.0,-7083247.0,-41760064.0,2915025.0,0.0
ABBV,2020,0.7176151515361546,24173000000.0,8449000000.0,28661000000.0,137468000000.0,6471000000.0,-798000000.0,4616000000.0,2454000000.0,0.27
ABCL,2020,1.1832226174578686,813325000.0,594116000.0,103490000.0,175028000.0,5271000.0,-14673000.0,118918000.0,6511000.0,0.246558
ABEO,2020,0.6191743538233253,97742000.0,12596000.0,41959000.0,48647000.0,5601000.0,-1336000.0,-84234000.0,4115000.0,0.0
ABEV,2020,1.286142744788477,35342300000.0,17090300000.0,33477800000.0,50045100000.0,5167400000.0,-4692700000.0,11379400000.0,2112600000.0,0.1306
ABG,2020,1.008218097472477,1405700000.0,1400000.0,1223400000.0,2770800000.0,38500000.0,-48800000.0,254400000.0,74500000.0,0.248
ABL,2020,-0.012366357395971347,,1852644.0,,1657277.0,19454.0,,1438209.0,,0.0
ABM,2020,1.1430766946413664,1441900000.0,394200000.0,986900000.0,2276500000.0,96400000.0,-38000000.0,300000.0,44600000.0,0.27
ABNB,2020,-1.6396303513188737,8916386000.0,5480557000.0,5139779000.0,7589716000.0,125876000.0,-37371000.0,-4584716000.0,171688000.0,0.021
ABT,2020,0.6263913800774138,20441000000.0,6838000000.0,11907000000.0,39545000000.0,3327000000.0,-2177000000.0,4495000000.0,546000000.0,0.1
