Ticker,Year,Beta,Current Assets,Cash And Cash Equivalents,Current Liabilities,Total Liabilities Net Minority Interest,Depreciation And Amortization,Capital Expenditure,Net Income,Interest Expense,Tax Rate For Calcs
KDP,2021,0.4985509175967005,3057000000.0,567000000.0,6485000000.0,25626000000.0,708000000.0,-455000000.0,2146000000.0,500000000.0,0.233
KE,2021,1.334838094378767,761083000.0,49851000.0,408742000.0,581796000.0,29411000.0,-74714000.0,31253000.0,2655000.0,0.285335
KELYA,2021,1.0751050691006616,1588700000.0,112700000.0,1095200000.0,1558000000.0,51000000.0,-11200000.0,156100000.0,2500000.0,0.188913
KELYB,2021,0.6101427065711894,1588700000.0,112700000.0,1095200000.0,1558000000.0,51000000.0,-11200000.0,156100000.0,2500000.0,0.188913
KEN,2021,1.1833411875089812,581593000.0,474544000.0,447285000.0,1758128000.0,57640000.0,-239663000.0,930273000.0,51924000.0,0.004917
KEP,2021,0.78610147733449,22050845000000.0,2635238000000.0,31732220000000.0,145797021000000.0,11942492000000.0,-12799826000000.0,-5304522000000.0,1914457000000.0,0.262458
KEQU,2021,0.35246376468741,91565000.0,4433000.0,42293000.0,82593000.0,2769000.0,-1908000.0,-6126000.0,632000.0,0.21
KEX,2021,1.1396411455412678,1003865000.0,34813000.0,543772000.0,2510281000.0,213718000.0,-98015000.0,-246954000.0,42469000.0,0.151
KEYS,2021,1.1137390124243922,3834000000.0,2052000000.0,1309000000.0,3997000000.0,293000000.0,-174000000.0,894000000.0,79000000.0,0.11
KFY,2021,1.3899714928960396,1759970000.0,978070000.0,984225000.0,1914957000.0,63521000.0,-49406000.0,326360000.0,25293000.0,0.236
KGEI,2021,2.010531631146774,9902000.0,7316000.0,6079000.0,23928000.0,,-696000.0,71002000.0,906000.0,0.27
KHC,2021,0.4336536464775238,8994000000.0,3445000000.0,9064000000.0,43942000000.0,910000000.0,-905000000.0,1012000000.0,2047000000.0,0.4
KIDS,2021,0.8297054696127037,133648000.0,7641000.0,29715000.0,78905000.0,10680000.0,-16011000.0,-16260000.0,2247000.0,0.063
KIRK,2021,1.9751349518876786,149569000.0,25003000.0,134614000.0,250063000.0,20431000.0,-7128000.0,22026000.0,320000.0,0.131775
KITT,2021,-0.0284098208785762,23169058.0,20952867.0,16582455.0,31778829.0,365097.0,-922487.0,-15127629.0,725166.0,0.0
KLAC,2021,1.9553849288029832,7168911000.0,1584908000.0,2871083000.0,11197998000.0,363344000.0,-307320000.0,3321807000.0,160339000.0,0.048
KLIC,2021,2.005352325439452,1351890000.0,362788000.0,351875000.0,506394000.0,19810000.0,-22775000.0,367161000.0,218000.0,0.114
KLTR,2021,1.5484093659264604,175647000.0,143949000.0,98086000.0,138019000.0,2412000.0,-5999000.0,-59351000.0,20106000.0,0.27
KLXE,2021,1.2183002677331318,150700000.0,47100000.0,77700000.0,330600000.0,61700000.0,-12200000.0,-332200000.0,30700000.0,0.27
KMB,2021,0.059620399723879704,5565000000.0,270000000.0,6749000000.0,17100000000.0,766000000.0,-1007000000.0,1814000000.0,256000000.0,0.215
KMDA,2021,0.5316653369061854,130044000.0,18587000.0,54057000.0,141843000.0,5609000.0,-3730000.0,-2230000.0,283000.0,0.23
KMT,2021,1.4271201757664267,1024708000.0,85586000.0,485649000.0,1282277000.0,131678000.0,-96924000.0,144623000.0,25914000.0,0.273
KMX,2021,1.2387205849862222,6549290000.0,102716000.0,2047457000.0,21102825000.0,273188000.0,-308534000.0,1151297000.0,322895000.0,0.229
