Year,Company,Market_Cap
2023,A,31848407777.34375
2022,A,34386625957.76367
2021,A,44303280392.578125
2020,A,28210522961.42578
2020,AA,2913569821.586609
2021,AA,12260540226.593018
2022,AA,8491993256.530762
2023,AA,7406037221.641541
2023,AACG,35784000.15234947
2020,AACG,35464500.457048416
2021,AACG,74762997.2577095
2022,AACG,54634501.21879578
2023,AACT,513500022.8881836
2022,AADI,347807126.8169403
2023,AADI,119135635.7559204
2021,AADI,722936696.6575623
2020,AADI,553833000.0
2023,AAL,8412378515.563965
2022,AAL,7906716134.94873
2021,AAL,13475566380.615234
2020,AAL,8070892134.94873
2021,AAME,82528184.49878693
2022,AAME,57189062.768650055
2023,AAME,39026247.07233906
2020,AAME,39566007.376909256
2020,AAOI,460076625.0
2021,AAOI,293631118.9797878
2022,AAOI,111236305.17003536
2023,AAOI,448625839.9203301
2020,AAON,3180849742.9138184
2022,AAON,2877854985.241699
2023,AAON,4587617519.380188
2021,AAON,3469334724.458313
2023,AAP,3283728462.913132
2022,AAP,8938984503.837585
2021,AAP,11601644193.998718
2020,AAP,8416224305.274963
2022,AAPL,2078180736364.0
2020,AAPL,1720719666837.0625
2021,AAPL,2115947622636.0935
2023,AAPL,2589841763081.0
2023,AAT,1116393464.1708374
2020,AAT,1216217920.1675415
2022,AAT,1392005241.2597656
2021,AAT,1948913694.393921
2023,AB,3182315576.236725
2020,AB,2227694971.277237
2021,AB,4447195687.950134
2022,AB,3412850857.7804565
2022,ABAT,599295399.1824493
2021,ABAT,1671429275.2702026
2020,ABAT,148449322.59122467
2023,ABAT,631917572.0905304
2023,ABBV,253496441142.68555
2022,ABBV,219343504816.6865
2021,ABBV,169357628083.86133
2020,ABBV,131030037156.06348
2023,ABCB,2621082163.9060974
2022,ABCB,3004938541.2254333
2021,ABCB,3441140550.8155823
2020,ABCB,1491973560.0662231
2022,ABCL,2914246682.925537
2021,ABCL,5905106589.134766
2023,ABCL,1355463498.298462
2021,ABEO,1212803200.0
2022,ABEO,131675774.34768675
2023,ABEO,182353625.65231323
2020,ABEO,1104517200.0
2023,ABEV,38535919914.748535
2022,ABEV,40104609748.37402
2021,ABEV,37609362104.26758
2020,ABEV,29858323474.053955
2022,ABG,3018993231.9488525
2023,ABG,4596821753.338623
2021,ABG,3930884983.7539673
2020,ABG,1947060684.0255735
2023,ABL,509868345.9845581
2022,ABL,750245539.0386047
2021,ABL,734568764.0308838
2020,ABL,726357075.9073486
2023,ABLV,57738764.67561722
2020,ABM,2135744949.5994568
2023,ABM,2451301508.666229
2022,ABM,2296280456.6654205
2021,ABM,2656584296.337128
2023,ABNB,60372675178.75488
2022,ABNB,46217808802.19385
2021,ABNB,73810332816.0
2023,ABOS,249331175.72965625
2022,ABOS,602600377.9569626
2021,ABOS,892785807.3732376
2022,ABR,1702931802.067749
2023,ABR,2524674484.085449
2020,ABR,1433468339.0507812
2021,ABR,2516346023.7139893
2022,ABSI,355430292.9954529
