Ticker,Year,Beta,Current Assets,Cash And Cash Equivalents,Current Liabilities,Total Liabilities Net Minority Interest,Depreciation And Amortization,Capital Expenditure,Net Income,Interest Expense,Tax Rate For Calcs
SNOA,2020,-0.25253856428525034,12983000.0,4220000.0,4078000.0,9624000.0,227000.0,-179000.0,-3950000.0,12000.0,0.27
SNPS,2020,0.9711437467436841,2549217000.0,1235653000.0,2139922000.0,3117695000.0,209986000.0,-158762000.0,664347000.0,5140000.0,0.27
SNT,2020,-0.1263283438960256,78035000.0,24531000.0,33237000.0,40959000.0,1956000.0,-875000.0,360000.0,159000.0,0.23
SNX,2020,1.0491969501169613,8769127000.0,1412016000.0,5630092000.0,9129730000.0,341637000.0,-197965000.0,529160000.0,79023000.0,0.233
SNY,2020,0.7190506823046676,30653000000.0,10098000000.0,21295000000.0,51211000000.0,3671000000.0,-2083000000.0,12294000000.0,434000000.0,0.131151
SO,2020,0.6081056447249726,8617000000.0,1065000000.0,12079000000.0,90410000000.0,3905000000.0,-7441000000.0,3134000000.0,1821000000.0,0.112414
SOHU,2020,0.4083564595752741,2254872000.0,217057000.0,1284730000.0,1790140000.0,39852000.0,-33780000.0,-86112000.0,6234000.0,0.25
SOL,2020,1.1032080841769651,136748589.0,40593094.0,88308638.0,153681868.0,7342327.0,-8247790.0,2778655.0,6206076.0,0.07
SONM,2020,1.738722094862237,45571000.0,22141000.0,20474000.0,21902000.0,2728000.0,-11000.0,-29932000.0,759000.0,0.0171
SONO,2020,1.2203147236665448,660377000.0,407100000.0,393015000.0,518212000.0,36426000.0,-33035000.0,-20115000.0,1487000.0,0.27
SONY,2020,0.18873671100017014,4715017000000.0,1786982000000.0,7353604000000.0,20783504000000.0,687373000000.0,-477931000000.0,1029610000000.0,14208000000.0,0.046
SOS,2020,1.1242859966115502,65023000.0,3722000.0,6777000.0,9526000.0,0.0,-501000.0,4404000.0,,0.17
SOTK,2020,0.2913953603876502,13167772.0,4084078.0,4265507.0,5472709.0,463076.0,-350353.0,1120642.0,39843.0,0.168581
SOWG,2020,0.6358931699468795,2390944.0,1912729.0,622791.0,2285584.0,3642.0,-1051737.0,-5320939.0,386164.0,0.0
SPB,2020,0.9053636750655055,1728100000.0,531600000.0,944900000.0,3691500000.0,114600000.0,-44100000.0,97800000.0,93700000.0,0.27
SPCB,2020,-1.8644040359155905,24942000.0,3137000.0,19598000.0,35425000.0,2720000.0,-1402000.0,-7867000.0,3812000.0,0.23
SPCE,2020,0.7317869263814097,727927000.0,665924000.0,115021000.0,276912000.0,9781000.0,-17201000.0,-644887000.0,36000.0,0.27
SPG,2020,1.565936464181841,2714136000.0,1011613000.0,3999260000.0,31128608000.0,1354991000.0,-484119000.0,1112564000.0,784400000.0,0.27
SPGI,2020,0.6181840937178779,5988000000.0,4108000000.0,3587000000.0,9185000000.0,206000000.0,-76000000.0,2339000000.0,141000000.0,0.215
SPH,2020,0.36640719575124403,115958000.0,3140000.0,244516000.0,1684872000.0,116791000.0,-32498000.0,60758000.0,74727000.0,0.27
SPHR,2020,0.9131515097858683,1872736000.0,1516992000.0,729870000.0,2971639000.0,121999000.0,-456007000.0,-148151000.0,20219000.0,0.27
SPI,2020,0.8597768317683133,56489000.0,2764000.0,171555000.0,184328000.0,2693000.0,-16239000.0,-15258000.0,3768000.0,0.3
SPIR,2020,-0.3212004540290601,22274000.0,15571000.0,13288000.0,93158000.0,5546000.0,-10415000.0,,,
SPLP,2020,0.7099715271839229,803303000.0,135788000.0,517001000.0,3395156000.0,65333000.0,-23226000.0,72675000.0,41247000.0,0.304
SPNS,2020,0.9194756895393623,267358000.0,152561000.0,144776000.0,330467000.0,23383000.0,-11241000.0,33775000.0,3922000.0,0.170906
SPOT,2020,0.6694991837314042,2366000000.0,1151000000.0,2900000000.0,3521000000.0,111000000.0,-78000000.0,-581000000.0,54000000.0,0.180536
SPR,2020,1.867402532624119,4485000000.0,1873300000.0,1709400000.0,7526900000.0,277600000.0,-118900000.0,-870300000.0,195300000.0,0.203
SPRB,2020,-0.4795104711497125,160397000.0,157150000.0,9763000.0,13456000.0,36000.0,-74000.0,-29539000.0,323000.0,0.0
SPRO,2020,1.0308728949423076,139145000.0,85209000.0,14343000.0,21411000.0,761000.0,-157000.0,-78280000.0,0.0,0.0
SPRU,2020,-0.12176778471598695,345320000.0,329641000.0,9083000.0,158117000.0,622000.0,-145000.0,-60606000.0,6370000.0,0.0
SPT,2020,0.47016689213979246,199330000.0,114515000.0,63577000.0,87570000.0,5285000.0,-4015000.0,-31655000.0,366000.0,0.27
SPTN,2020,0.5782106334037669,1014740000.0,19903000.0,689554000.0,1542342000.0,89876000.0,-67298000.0,75914000.0,18418000.0,0.111
SPWH,2020,0.5478258932994116,324653000.0,65525000.0,227428000.0,456158000.0,21829000.0,-19754000.0,91380000.0,3506000.0,0.248
SPXC,2020,1.5120251510902059,675100000.0,64000000.0,572100000.0,1693600000.0,31900000.0,-15300000.0,99000000.0,18400000.0,0.061
SQ,2020,0.9997142509121372,7761629000.0,5195890000.0,4126104000.0,7187981000.0,84212000.0,-188402000.0,213105000.0,56943000.0,0.013
SQNS,2020,0.9632663049974,51683000.0,7574000.0,62535000.0,123962000.0,9770000.0,-13775000.0,-54516000.0,13873000.0,0.27
SR,2020,0.9085964592076534,590600000.0,4100000.0,1449200000.0,5718900000.0,197300000.0,-638400000.0,88600000.0,105500000.0,0.123
SRCL,2020,1.1276471543378717,552500000.0,53300000.0,697100000.0,3147500000.0,233500000.0,-119500000.0,-57300000.0,81900000.0,0.002
