Year,Company,Market_Cap
2020,MMM,62143473231.140625
2021,MMM,70251914061.09766
2022,MMM,45966383187.46875
2023,MMM,41135205689.24609
2020,ABT,176521388365.42285
2021,ABT,194465249042.4287
2022,ABT,161820698586.99316
2023,ABT,165077143869.3584
2020,ABBV,131030037156.06348
2021,ABBV,169357628083.86133
2022,ABBV,219343504816.68652
2023,ABBV,253496441142.68555
2020,ACN,133579178497.31445
2021,ACN,191617839660.64453
2022,ACN,155983809814.45312
2023,ACN,189194706909.1797
2020,AYI,3110037556.7993164
2021,AYI,5289229292.071533
2022,AYI,4817713014.425659
2023,AYI,5226452591.015625
2020,ADBE,215887282775.8789
2021,ADBE,253431931103.51562
2022,ADBE,121143045373.53516
2023,ADBE,224457977313.23242
2020,AAP,8416224305.274963
2021,AAP,11601644193.998718
2022,AAP,8938984503.837585
2023,AAP,3283728462.9131317
2020,AES,11403180088.770996
2021,AES,14748134556.250977
2022,AES,15011400781.418945
2023,AES,10372803445.132324
2020,AMG,2036377040.2679443
2021,AMG,4500930450.98877
2022,AMG,3332917778.0456543
2023,AMG,3884928519.104004
2020,AFL,18483171116.9458
2021,AFL,27182760244.992188
2022,AFL,30064668861.691406
2023,AFL,42047110807.5293
2020,A,28210522961.42578
2021,A,44303280392.578125
2022,A,34386625957.76367
2023,A,31848407777.34375
2020,APD,60129233928.95508
2021,APD,52812835275.66528
2022,APD,49209863351.92871
2023,APD,61352754713.68408
2020,AKAM,16749684178.726196
2021,AKAM,15848103785.095215
2022,AKAM,12170568273.757935
2023,AKAM,16143580178.726196
2020,ALK,4621204304.75235
2021,ALK,7392917207.496643
2022,ALK,4939125042.503357
2023,ALK,4677975951.004028
2020,ALB,10107653278.640747
2021,ALB,25018761328.24707
2022,ALB,30412295030.76172
2023,ALB,19700875505.874634
2020,ALLE,8172363736.273193
2021,ALLE,11043864401.998291
2022,ALLE,7604508869.995361
2023,ALLE,8945324463.490723
2020,LNT,11645724655.151367
2021,LNT,12996738092.422485
2022,LNT,12661847002.029419
2023,LNT,11970958248.138428
2020,ALL,22394053183.970215
2021,ALL,31031186323.311035
2022,ALL,31194423091.37549
2023,ALL,28753194179.40161
2020,GOOGL,428286976542.6914
2021,GOOGL,781273074815.6953
2022,GOOGL,559029096441.9141
2023,GOOGL,764814931937.6719
2020,GOOG,409380427132.53125
2021,GOOG,742464451025.5938
2022,GOOG,535682206042.5664
2023,GOOG,734578246358.2734
2020,MO,47808647311.25098
2021,MO,60586757482.58203
2022,MO,58074212062.83984
2023,MO,65800880870.54883
2020,AMZN,1652390394634.7188
2021,AMZN,1723923216596.4219
2022,AMZN,1186002756608.0
2023,AMZN,1334200652012.9453
2020,AEE,18770800937.452637
2021,AEE,19747128183.554688
2022,AEE,20149698742.773438
2023,AEE,19287479975.11499
2020,AAL,8070892134.94873
2021,AAL,13475566380.615234
2022,AAL,7906716134.94873
2023,AAL,8412378515.563965
2020,AEP,37533544900.81787
2021,AEP,38574274868.774414
2022,AEP,42486687655.944824
2023,AEP,38397119408.87451
2020,AXP,67439520933.59375
2021,AXP,114205795539.0625
2022,AXP,93037885238.28125
2023,AXP,104377168117.1875
2020,AIG,16114273548.113525
2021,AIG,33001278932.810547
2022,AIG,29223343463.61328
2023,AIG,38210766276.09082
2020,AMT,101981987346.82422
2021,AMT,114255041141.64844
2022,AMT,93937167269.4961
2023,AMT,74158515942.89844
2020,AWK,26283652731.00879
2021,AWK,31103292015.470215
2022,AWK,24337661520.02124
2023,AWK,23590973091.005127
2020,AMP,14150615440.398926
2021,AMP,24729735133.81494
2022,AMP,23982689835.887695
2023,AMP,31895911902.963867
2020,AME,22424476757.20215
2021,AME,28150966950.439453
2022,AME,25917345489.501953
2023,AME,33992251813.476562
2020,AMGN,120615607705.57812
2021,AMGN,103873031876.26758
2022,AMGN,113748723812.5625
2023,AMGN,140195665478.23047
2020,APH,31366611846.413086
2021,APH,42796178610.65625
2022,APH,39564606034.76367
2023,APH,50149296790.81055
2020,ADI,53979029307.46582
2021,ADI,78778345158.60645
2022,ADI,66741602276.50488
2023,ADI,85440257458.09277
