Ticker,Year,Beta,Current Assets,Cash And Cash Equivalents,Current Liabilities,Total Liabilities Net Minority Interest,Depreciation And Amortization,Capital Expenditure,Net Income,Interest Expense,Tax Rate For Calcs
CASI,2023,-0.16918801742793638,59344000.0,17083000.0,16726000.0,51103000.0,3741000.0,-2241000.0,-26938000.0,,0.003081
CAT,2023,1.0569421029118435,46949000000.0,6978000000.0,34728000000.0,67973000000.0,2144000000.0,-3092000000.0,10335000000.0,511000000.0,0.213
CATO,2023,0.5705692282655188,243062000.0,23940000.0,188008000.0,294496000.0,9871000.0,-12532000.0,-23941000.0,35000.0,0.21
CATX,2023,1.2029396476462682,16837000.0,9238000.0,15664000.0,22712000.0,946000.0,-1072000.0,-46508000.0,84000.0,0.0661
CAVA,2023,2.237493145585616,354912000.0,332428000.0,109036000.0,412955000.0,47433000.0,-138806000.0,13280000.0,,0.05467
CBAT,2023,1.2212901600025639,128423485.0,4643267.0,160495555.0,167696919.0,10335847.0,-31140550.0,-2449057.0,,0.25
CBOE,2023,0.26077382676243577,1979300000.0,543200000.0,1383400000.0,3502500000.0,158000000.0,-45000000.0,761400000.0,62400000.0,0.273
CBRE,2023,1.3125032886244288,9666000000.0,1265000000.0,8243000000.0,13481000000.0,622000000.0,-305000000.0,986000000.0,,0.19
CBRL,2023,0.7689465262541268,278214000.0,12035000.0,454207000.0,1721345000.0,124481000.0,-128295000.0,40930000.0,20933000.0,0.21
CBT,2023,1.403553250203478,1626000000.0,238000000.0,822000000.0,2197000000.0,144000000.0,-244000000.0,445000000.0,90000000.0,0.21
CBUS,2023,0.8184496067857145,35220000.0,32699000.0,21323000.0,206117000.0,4693000.0,-4321000.0,-267627000.0,18892000.0,1.2e-05
CBZ,2023,0.9196164791496283,612685000.0,8090000.0,511921000.0,1251974000.0,36269000.0,-23052000.0,120968000.0,20131000.0,0.273
CC,2023,1.8009936537137903,3835000000.0,1203000000.0,2486000000.0,7512000000.0,307000000.0,-370000000.0,-238000000.0,208000000.0,0.255
CCCC,2023,1.612655538035429,271189000.0,126590000.0,42766000.0,130337000.0,1880000.0,-1708000.0,-132493000.0,1373000.0,0.21
CCCS,2023,0.5226595003210921,349999000.0,195572000.0,152907000.0,1252179000.0,135338000.0,-55032000.0,-92476000.0,63577000.0,0.21
CCEC,2023,0.5191403444654652,225504000.0,192422000.0,183930000.0,1965366000.0,85090000.0,-467632000.0,47208000.0,104858000.0,0.22
CCEL,2023,0.03867171514621503,9452837.0,406067.0,20864001.0,72252002.0,1710411.0,-7638968.0,-9521669.0,1236794.0,0.28754
CCEP,2023,0.4388829726386474,6605000000.0,1419000000.0,7278000000.0,21278000000.0,792000000.0,-812000000.0,1669000000.0,162000000.0,0.242
CCG,2023,7.864381852156863,780253000.0,243392000.0,501533000.0,515795000.0,11559000.0,-549000.0,-159590000.0,1446000.0,0.002269
CCI,2023,1.0053550943822267,1032000000.0,105000000.0,2585000000.0,32146000000.0,1754000000.0,-1424000000.0,1502000000.0,821000000.0,0.017016
CCJ,2023,1.0788014769568317,1841890000.0,410535000.0,1189104000.0,3839748000.0,220324000.0,-153631000.0,360847000.0,92045000.0,0.26
CCK,2023,1.0161383146504257,4833000000.0,1310000000.0,4201000000.0,12170000000.0,499000000.0,-793000000.0,450000000.0,436000000.0,0.279
CCL,2023,2.1907548911321504,5266000000.0,2415000000.0,11481000000.0,42237000000.0,2370000000.0,-3284000000.0,-74000000.0,2066000000.0,0.21
CCLD,2023,1.4061636003369904,23243000.0,3331000.0,23300000.0,36109000.0,17041000.0,-11613000.0,-48674000.0,1194000.0,0.007423
CCLDO,2023,-0.005306380311989563,23243000.0,3331000.0,23300000.0,36109000.0,17041000.0,-11613000.0,-48674000.0,1194000.0,0.007423
CCLDP,2023,-0.05182052142945501,23243000.0,3331000.0,23300000.0,36109000.0,17041000.0,-11613000.0,-48674000.0,1194000.0,0.007423
CCM,2023,-0.0013251556890270385,617208000.0,58139000.0,1951394000.0,4306956000.0,128454000.0,-119913000.0,-297658000.0,165669000.0,0.044228
CCO,2023,2.242969841517879,957401000.0,251652000.0,883728000.0,8173218000.0,258344000.0,-166594000.0,-310922000.0,421434000.0,0.099
CCOI,2023,0.6073095619972653,513627000.0,75092000.0,373324000.0,2602063000.0,232209000.0,-129632000.0,1273441000.0,106783000.0,0.21
CCRN,2023,0.513714965829308,415153000.0,17094000.0,148587000.0,205924000.0,18347000.0,-13974000.0,72631000.0,8094000.0,0.294
CCSI,2023,0.9563381403334654,125248000.0,88715000.0,71384000.0,823377000.0,17421000.0,-36461000.0,77295000.0,45367000.0,0.251
CDE,2023,0.6790364186651657,267255000.0,61633000.0,289613000.0,1056945000.0,99822000.0,-364617000.0,-103612000.0,26390000.0,0.21
CDIO,2023,0.6997079574038788,2765680.0,1283523.0,841142.0,1504241.0,111620.0,-772939.0,-8376834.0,6735013.0,0.0
CDLX,2023,2.933150161962317,223928000.0,91830000.0,171149000.0,439346000.0,29515000.0,-12392000.0,-134702000.0,6183000.0,0.0009
CDMO,2023,1.4505903214450537,104002000.0,38106000.0,70566000.0,275668000.0,11109000.0,-31805000.0,-140753000.0,4337000.0,0.21
CDNS,2023,1.2693220828142135,1976217000.0,1008152000.0,1590867000.0,2265220000.0,145743000.0,-102503000.0,1041144000.0,36185000.0,0.188
CDP,2023,0.9582760523601155,529552000.0,167820000.0,305417000.0,2699631000.0,151395000.0,-20500000.0,-73469000.0,72462000.0,0.21
CDRE,2023,0.7230034899233803,245843000.0,87691000.0,95206000.0,234017000.0,15737000.0,-6727000.0,38641000.0,4531000.0,0.27
CDRO,2023,0.4968274741923599,68325000.0,53808000.0,42753000.0,44761000.0,556000.0,-164000.0,-46382000.0,12643000.0,0.21
CDW,2023,0.9080573202033662,6705000000.0,588700000.0,5442000000.0,11242100000.0,270700000.0,-148200000.0,1104300000.0,226600000.0,0.239
CDXC,2023,1.4679093366817493,49534000.0,27173000.0,20622000.0,26508000.0,1705000.0,-148000.0,-4938000.0,,0.0
