Company,returnOnEquity,industry,dividendYield,grossMargins,marketCap,returnOnAssets,trailingEps,enterpriseValue,forwardPE,sector,freeCashflow,netIncomeToCommon,profitMargins,totalRevenue,debtToEquity,beta,currentRatio,operatingMargins,trailingPE,quickRatio,forwardEps
A,0.24658,Diagnostics & Research,0.0070999996,0.54394,38461726720.0,0.07579,4.81,39798681600.0,23.692036,Healthcare,879500032.0,1412999936.0,0.21747999,6496999936.0,52.787,1.072,1.781,0.24968,27.829523,1.258,5.65
AA,-0.07142,Aluminum,0.0092,0.12077,11241025536.0,0.01862,-1.56,12873018368.0,13.639498,Basic Materials,552124992.0,-292000000.0,-0.02654,11004000256.0,56.095,2.419,1.407,0.086780004,,0.671,3.19
AACG,-0.35138,Education & Training Services,,0.53177,32418116.0,-0.05531,-0.15,64879152.0,-1.040404,Consumer Defensive,,-33397524.0,-0.13746999,242948544.0,48.502,0.782,0.177,-0.40102002,,0.115,-0.99
AACT,,Shell Companies,,,679374976.0,-0.00196,0.46,682978240.0,,Financial Services,-498024.0,26328580.0,,,,,3.834,,23.630434,3.028,
AADI,-0.62264,Biotechnology,,-1.2839999,51759536.0,-0.34932,-2.28,-28528480.0,-2.079208,Healthcare,-29938250.0,-65443000.0,-2.7477398,23817000.0,1.34,0.372,4.199,-2.52209,,3.815,-1.01
AAL,,Airlines,,0.24033001,9304975360.0,0.02753,0.42,39527972864.0,7.009901,Industrials,445375008.0,275000000.0,0.00513,53612998656.0,,1.399,0.566,0.049099997,33.714287,0.422,2.02
AAM,,,,,441938720.0,,,,,,,,,,,,,,,,
AAME,-0.030869998,Insurance - Life,0.0119,0.080570005,34169664.0,-0.0014599999,-0.17,53131596.0,,Financial Services,10483625.0,-3550000.0,-0.01694,186000992.0,39.852,0.462,1.331,0.00037999998,,0.947,
AAOI,-0.41441002,Communication Equipment,,0.26092,1275262336.0,-0.10998999,-1.88,1362454400.0,38.753426,Technology,-38015376.0,-80900000.0,-0.38606998,209547008.0,57.201,1.961,1.609,-0.25398,,0.933,0.73
AAON,0.25811002,Building Products & Equipment,0.0023,0.35652,11440103424.0,0.1598,2.28,11477248000.0,48.03754,Industrials,87713872.0,190918000.0,0.15784,1209554944.0,8.581,0.791,3.06,0.0399,61.732456,1.717,2.93
AAP,-0.00456,Specialty Retail,0.0247,0.39603,2419196160.0,0.00245,-0.21,6402228736.0,15.070632,Consumer Cyclical,493546624.0,-12162000.0,-0.0010800001,11273254912.0,171.801,1.194,1.229,0.02674,,0.252,2.69
AAPL,1.5741299,Consumer Electronics,0.0045,0.46206,3389415751680.0,0.21464,6.08,3443308888064.0,26.98315,Technology,110846001152.0,93736001536.0,0.23971,391034994688.0,209.059,1.24,0.867,0.31171,36.879932,0.745,8.31
AAT,0.06479,REIT - Diversified,0.0478,0.64712,2159868672.0,0.02508,0.97,3234397440.0,38.916664,Real Estate,,58302000.0,0.12884,452499008.0,185.382,1.311,1.266,0.30786,28.886597,1.266,0.72
AB,0.19511999,Asset Management,0.0817,1.0,4139243264.0,0.04117,3.48,,10.108034,Financial Services,,397137984.0,2.96159,134096000.0,,1.233,,1.0,10.485633,,3.61
ABAT,-0.85831,Other Industrial Metals & Mining,,,69899464.0,-0.30784,-1.02,68198072.0,-6.8107142,Basic Materials,-25603900.0,-52501824.0,,343500.0,10.577,1.854,1.165,-35.172802,,0.508,-0.14
ABBV,0.56407,Drug Manufacturers - General,0.0376,0.70335,308242219008.0,0.077199996,2.88,372319289344.0,14.380049,Healthcare,17738999808.0,5080999936.0,0.09222999,55532998656.0,1174.815,0.613,0.645,0.28928,60.565968,0.436,12.13
ABCB,0.09397,Banks - Regional,0.0084,,4915498496.0,0.01268,4.78,4011645696.0,14.149104,Financial Services,,330243008.0,0.31542,1046982016.0,,1.023,,0.46842998,14.88912,,5.03
ABCL,-0.15551,Biotechnology,,,930403008.0,-0.13256,-0.61,352881056.0,-4.772727,Healthcare,-100451000.0,-175796992.0,,32962000.0,6.147,0.351,9.336,-14.39419,,8.477,-0.66
ABEO,-1.2738,Biotechnology,,,278511584.0,-0.37814,-1.77,178968576.0,-4.3445945,Healthcare,-20499376.0,-52599000.0,,,31.628,1.505,7.475,,,7.383,-1.48
ABEV,0.15071,Beverages - Brewers,0.0686,0.50983,34602041344.0,0.086540006,0.15,17786910720.0,11.578948,Consumer Defensive,12533468160.0,13944512512.0,0.16922002,82406481920.0,3.418,0.552,1.196,0.23856,14.666666,0.827,0.19
ABG,0.108,Auto & Truck Dealerships,,0.17409,5205378048.0,0.06628,17.83,10215966720.0,9.597327,Consumer Cyclical,-426500000.0,357000000.0,0.02164,16495800320.0,151.657,1.165,1.197,0.054920003,14.904655,0.213,27.69
ABL,-0.028450001,Insurance - Life,,0.89,639250560.0,0.03113,-0.14,761745408.0,10.567902,Financial Services,41911060.0,-5897784.0,-0.06183,95379760.0,77.602,0.148,1.835,0.25712,,1.818,0.81
ABLLL,,,,,,,,,,,,,,,,,,,,,
ABLLW,,,,,,,,,,,,,,,,,,,,,
ABLV,1.15065,Advertising Agencies,,0.24837999,36266696.0,0.15203,0.24,39005236.0,,Communication Services,16094051.0,9441345.0,0.06544,148999824.0,138.92,2.873,3.101,0.0779,3.6083333,1.823,
ABLVW,1.15065,Advertising Agencies,,0.24837999,,0.15203,,,,Communication Services,16094051.0,9441345.0,0.06544,148999824.0,138.92,2.873,3.101,0.0779,,1.823,
ABM,0.08438,Specialty Business Services,0.0154,0.13508001,3680198144.0,0.03265,2.42,5053295616.0,16.01366,Industrials,257587504.0,155900000.0,0.01884,8274899968.0,79.531,1.132,1.383,0.017860001,24.219007,1.253,3.66
ABNB,0.20873,Travel Services,,0.83072,85843664896.0,0.046630003,2.89,76849627136.0,30.533333,Consumer Cyclical,3363000064.0,1838000000.0,0.16956,10840000512.0,26.614,1.156,1.616,0.40862998,47.543247,1.008,4.5
ABOS,-0.31425,Biotechnology,,,193456960.0,-0.20555,-1.11,-37291116.0,-2.1045752,Healthcare,-36267624.0,-64864000.0,,,12.185,0.039,17.369,,,16.957,-1.53
ABR,0.09948,REIT - Mortgage,0.11,0.90897006,2949844736.0,0.021389998,1.33,13438458880.0,10.222222,Real Estate,,255103008.0,0.45586,650353984.0,329.226,2.014,4.289,0.48544,11.759398,4.116,1.53
ABR^D,,,,,,,,,,,,,,,,,,,,,
ABR^E,,,,,,,,,,,,,,,,,,,,,
ABR^F,,,,,,,,,,,,,,,,,,,,,
ABSI,-0.42237,Biotechnology,,,486019712.0,-0.23976,-0.93,354107104.0,-6.0281696,Healthcare,-28843000.0,-92264000.0,,3250000.0,6.019,2.187,6.486,-21.040161,,5.705,-0.71
ABT,0.14840001,Medical Devices,0.0188,0.55907,202584932352.0,0.06488,3.29,210074451968.0,22.63566,Healthcare,6404874752.0,5744000000.0,0.13992,41216999424.0,37.589,0.722,1.597,0.18749,35.501522,0.996,5.16
ABTS,-0.57313997,Capital Markets,,0.33421,22399460.0,-0.0777,-0.26,22007914.0,,Financial Services,-3635987.0,-9096138.0,-1.70216,5343888.0,,2.706,0.833,-0.09711,,0.431,
ABUS,-0.67807996,Biotechnology,,,706805184.0,-0.32828,-0.43,585771008.0,-10.970588,Healthcare,-39811624.0,-76700000.0,,6742000.0,6.325,1.916,7.017,-13.0478,,6.854,-0.34
ABVC,-3.20362,Biotechnology,,-0.24114001,6535108.0,-0.44551,-1.66,8373592.0,-1.1956818,Healthcare,-3194481.0,-11374071.0,,136396.0,34.911,0.816,0.334,-8.33724,,0.032,-0.44
ABVE,,Packaged Foods,,-0.0173,13509000.0,-0.15508,-1.48,130099960.0,,Consumer Defensive,15617327.0,-53312280.0,-0.1447,368423392.0,,-0.009,0.445,-0.16506,,0.162,
ABVEW,,Packaged Foods,,-0.0173,,-0.15508,,,,Consumer Defensive,15617327.0,-53312280.0,-0.1447,368423392.0,,-0.009,0.445,-0.16506,,0.162,
ABVX,-1.71459,Biotechnology,,1.0,663781760.0,-0.46692002,-3.67,554865664.0,-3.4933777,Healthcare,-89297752.0,-177424992.0,,9031000.0,89.635,1.423,3.039,-11.78839,,2.985,-3.02
AC,0.06266,Asset Management,0.0055,-0.30234,774037120.0,-0.01338,1.54,403336256.0,14.050193,Financial Services,,56390000.0,4.12902,13657000.0,,,6.764,-2.8637702,23.62987,6.764,2.59
ACA,0.054109998,Engineering & Construction,0.0019,0.19844,5182047232.0,0.03368,2.63,5695848960.0,24.036198,Industrials,132637504.0,128100000.0,0.05169,2485900032.0,52.2,0.71,3.608,0.1029,40.395435,2.668,4.42
ACAB,,Shell Companies,,,87649840.0,-0.060500003,-0.13,91172832.0,,Financial Services,-2690839.0,-1439447.0,,,,0.014,0.038,,,0.032,
ACABW,,Shell Companies,,,,-0.060500003,,,,Financial Services,-2690839.0,-1439447.0,,,,0.014,0.038,,,0.032,
ACAD,0.27361,Biotechnology,,0.62637,3039981824.0,0.08717,0.78,2524019968.0,22.280489,Healthcare,221724880.0,128506000.0,0.13829,929235968.0,8.554,0.379,2.292,0.12637,23.423079,1.965,0.82
