Ticker,Year,Beta,Current Assets,Cash And Cash Equivalents,Current Liabilities,Total Liabilities Net Minority Interest,Depreciation And Amortization,Capital Expenditure,Net Income,Interest Expense,Tax Rate For Calcs
FDP,2022,0.4800054452663592,1241400000.0,17200000.0,607000000.0,1483900000.0,92500000.0,-48100000.0,98600000.0,24400000.0,0.170628
FDS,2022,0.8089474591816385,870347000.0,503273000.0,438287000.0,2682897000.0,129715000.0,-51156000.0,396917000.0,35697000.0,0.105
FDX,2022,1.0021763113444473,18610000000.0,6856000000.0,13586000000.0,61055000000.0,4176000000.0,-6174000000.0,3972000000.0,694000000.0,0.259
FE,2022,0.49171877139594494,2415000000.0,160000000.0,3958000000.0,35465000000.0,1317000000.0,-2756000000.0,406000000.0,955000000.0,0.21
FEAM,2022,1.3984368298952161,22131000.0,20323000.0,8864000.0,47333000.0,348000.0,-40083000.0,-30624000.0,6854000.0,0.0
FEIM,2022,0.34069289400014824,48307000.0,12049000.0,27281000.0,41610000.0,2434000.0,-918000.0,-5501000.0,156000.0,0.21
FELE,2022,0.8986459589105595,858090000.0,45790000.0,405769000.0,623399000.0,50374000.0,-41903000.0,187332000.0,11525000.0,0.197
FEMY,2022,0.9589656204873693,14131491.0,12961936.0,1527809.0,1653051.0,889140.0,-407475.0,-11394170.0,13464.0,0.21
FER,2022,0.019337418721612713,7419000000.0,5063000000.0,5379000000.0,19991000000.0,299000000.0,-95000000.0,185000000.0,354000000.0,0.113
FERG,2022,0.9488035642700501,9077000000.0,601000000.0,5429000000.0,10957000000.0,321000000.0,-441000000.0,1889000000.0,184000000.0,0.233
FET,2022,0.5292803529805822,512865000.0,51029000.0,210293000.0,527722000.0,36978000.0,-7492000.0,3712000.0,31525000.0,0.21
FF,2022,0.9088567789207372,273776000.0,175640000.0,56098000.0,72969000.0,10454000.0,-4778000.0,15211000.0,128000.0,0.21
FFIE,2022,2.156996831628822,84526000.0,16968000.0,268245000.0,328296000.0,5495000.0,-123222000.0,-602239000.0,9440000.0,0.0
FGEN,2022,1.2688167719231762,492826000.0,155700000.0,273562000.0,611567000.0,10604000.0,-38741000.0,-293654000.0,1440000.0,0.21
FGI,2022,0.8438199868641882,45887608.0,10067428.0,29775203.0,37622520.0,218662.0,-1064223.0,3679920.0,600798.0,0.189
